#{"t_start": 1724501887.995232, "env_id": "CustomHopper-source-v0"}
r,l,t
237.494651,107,4.89758
52.643164,31,4.907106
177.677416,82,4.93403
176.291198,88,4.958658
146.771065,97,4.985858
98.972096,53,5.002102
178.870253,101,5.030762
177.525999,81,5.053872
20.363053,19,5.059359
114.490457,64,5.077194
160.41242,76,5.09983
93.690427,49,5.113757
163.99562,77,5.13568
37.689333,46,5.149271
87.526636,51,5.163938
92.804609,51,5.178001
95.206234,51,5.193766
120.249242,60,5.21008
136.78598,95,5.236608
164.253848,85,5.260043
134.109025,77,5.281682
39.342212,26,5.288938
119.10651,73,5.310817
231.90176,142,5.351343
42.649246,34,5.361259
8.989062,12,5.364777
86.195852,48,5.378322
63.831582,37,5.400688
64.085523,37,5.409015
63.936622,37,5.417359
64.201458,37,5.425579
65.564515,38,5.43433
102.831658,55,5.459061
113.326035,58,5.475233
119.329293,77,5.498919
230.038609,106,5.949024
60.50461,42,5.961578
210.908346,118,5.995753
165.968585,82,6.021355
90.739801,50,6.035659
151.056015,90,6.061861
184.100772,89,6.087434
187.090106,98,6.1179
168.124879,79,6.14041
77.263025,42,6.152893
80.318041,45,6.165724
192.541018,104,6.195138
175.554713,84,6.220983
107.711218,66,6.239305
56.59412,33,6.249053
137.542763,73,6.269491
54.980057,32,6.278826
23.458889,22,6.284977
122.932053,62,6.302557
225.941974,129,6.340136
99.899857,53,6.35503
74.656822,41,6.366642
80.708165,44,6.379406
120.745617,70,6.399188
116.4768,73,6.42148
182.250899,90,6.446758
239.005489,116,6.480057
170.197161,89,6.505549
109.729534,59,6.523459
115.298562,85,6.968273
123.946771,65,6.98744
139.905913,67,7.007393
199.983436,94,7.034399
98.739365,56,7.048135
74.991954,43,7.059139
175.534323,84,7.080787
255.308762,116,7.110966
92.937947,54,7.126345
74.780176,42,7.137125
70.180222,41,7.147816
229.713726,124,7.179827
175.879378,94,7.203921
18.872429,18,7.2088
232.43302,108,7.238719
57.175525,32,7.247457
145.77231,74,7.268877
219.737203,112,7.297978
15.791513,18,7.303276
204.672527,95,7.330773
109.317825,59,7.345936
128.954263,68,7.364978
206.427118,94,7.390456
235.54851,101,7.418517
87.729202,47,7.433259
66.756882,38,7.444504
222.181906,101,7.472827
203.501289,105,7.502213
193.460896,91,8.355085
212.913483,100,8.382069
129.439534,69,8.401837
111.617396,61,8.418136
216.032998,97,8.444987
237.22243,107,8.47358
238.575242,117,8.506155
224.172438,99,8.543041
226.023352,100,8.564294
226.053517,100,8.585921
223.891883,99,8.607468
226.304258,100,8.628616
211.091952,111,8.668426
221.580651,100,8.695991
159.086588,96,8.719788
263.819949,140,8.756909
147.157845,76,8.777931
221.681166,98,8.804823
212.825706,98,8.832211
188.770981,88,8.857947
111.088877,60,8.874556
238.597701,113,8.905891
237.776469,107,8.935438
222.833196,96,8.964196
207.732739,93,8.99012
104.098958,63,9.007906
223.903459,101,10.010449
286.104819,156,10.052606
225.554419,115,10.084778
235.124587,110,10.115324
258.97534,143,10.154081
227.192293,111,10.187738
207.552081,104,10.217366
83.045503,47,10.230594
125.918994,73,10.251032
248.620757,105,10.282266
151.733987,79,10.304896
201.76827,88,10.330366
240.371876,114,10.362498
48.205166,36,10.374167
210.616337,91,10.400502
228.895845,106,10.429678
229.222351,98,10.453872
215.095473,94,10.479667
118.775924,61,10.494951
174.71967,80,10.516501
181.730175,83,10.538671
236.137587,119,10.990252
216.008965,104,11.019591
165.831727,95,11.04634
125.270914,69,11.064705
214.180123,95,11.091753
192.746911,85,11.114483
260.586576,130,11.150909
206.86919,88,11.174636
146.576213,70,11.195313
230.731494,105,11.223639
221.219679,94,11.249268
213.276827,103,11.277975
119.492019,65,11.297251
201.808086,90,11.321485
106.20627,59,11.337942
239.843816,110,11.366587
152.454549,75,11.388446
223.864886,99,11.414758
217.732255,95,11.438568
217.520103,95,11.459347
215.68714,94,11.479447
215.465203,94,11.501342
217.739283,95,11.524263
97.677283,53,11.541004
211.585899,92,11.566096
231.045441,101,11.594457
208.527696,108,11.625384
167.770491,83,11.648183
203.635874,94,12.664605
215.74297,93,12.689241
212.748244,97,12.716543
193.391801,87,12.740208
233.727343,106,12.769341
215.405727,93,12.794414
224.897527,107,12.824522
123.069542,63,12.840854
189.418275,88,12.864993
158.349694,75,12.884866
220.005197,101,12.913134
222.406356,114,12.943432
231.578048,112,12.973395
174.795385,82,12.995157
212.429463,104,13.025142
205.921838,92,13.052052
144.825839,80,13.074762
199.343489,91,13.100822
214.642359,97,13.130208
230.542985,100,13.159033
220.137635,96,13.186185
227.01346,106,13.217247
215.354499,96,13.992705
208.933076,90,14.022409
202.220065,92,14.046844
230.694508,105,14.077008
208.737989,95,14.104249
191.461078,83,14.130198
206.978549,92,14.15651
196.101415,87,14.181797
207.468557,91,14.207784
228.800334,124,14.244827
196.998372,88,14.27008
237.601854,120,14.303735
195.769285,83,14.328825
153.500126,78,14.350629
148.16897,73,14.372071
214.861872,96,14.399546
185.743161,98,14.429295
215.236043,116,14.462744
214.893582,98,14.491148
153.511859,72,14.511315
205.950338,93,14.537178
224.731541,99,15.565611
105.001657,59,15.599581
220.776461,104,15.631339
222.302672,104,15.664095
59.253126,34,15.674331
207.37917,102,15.704397
201.355864,89,15.729617
201.600875,89,15.751994
199.715603,88,15.77107
201.200944,89,15.791041
203.760987,90,15.811921
219.623771,114,15.848146
210.396343,100,15.878351
207.360171,91,15.904927
219.848023,96,15.932848
215.209205,105,15.965061
207.045833,93,15.993148
235.104755,104,16.023851
222.443943,109,16.056333
221.274078,99,16.084575
197.87413,89,16.1106
192.286426,95,16.138751
201.900928,89,16.165816
107.116722,59,16.182758
231.181268,108,16.213773
201.611633,91,16.240439
231.800691,127,16.2761
199.759358,87,17.317441
207.977132,90,17.346833
143.256235,72,17.366138
194.26075,86,17.390879
224.278828,102,17.41837
96.144786,54,17.432927
237.964979,110,17.462747
205.676572,95,17.489433
197.903799,91,17.51396
204.607449,93,17.538984
222.583589,98,17.565671
57.577275,33,17.576465
212.310563,90,17.600705
209.374547,95,17.626271
220.391904,98,17.65252
112.213058,61,17.66858
197.757797,89,17.693798
226.801486,114,17.724446
199.714276,87,17.747945
105.608583,57,17.763218
195.883503,89,17.788482
251.700915,112,17.818172
237.218664,98,17.844467
213.941606,95,17.869894
229.029539,100,18.65502
193.473498,95,18.681739
206.734538,93,18.709302
219.104306,98,18.736284
197.670437,84,18.75896
237.447533,106,18.787583
213.447991,96,18.8151
221.702612,97,18.841422
186.433218,83,18.863839
111.167363,59,18.879447
234.558096,101,18.908177
203.808737,91,18.932311
213.995374,92,18.956823
212.662094,98,18.983099
196.759038,86,19.01421
196.96864,86,19.033088
196.132026,86,19.0516
198.877256,87,19.070891
198.577955,87,19.089851
256.393126,130,19.129487
191.247602,84,19.153126
212.852976,100,19.18069
246.024235,129,19.217408
208.339022,102,19.245208
206.868576,96,19.271296
92.884799,58,19.287489
193.556975,84,20.300491
218.333833,102,20.330348
205.547052,91,20.35547
202.503001,99,20.383331
162.662617,83,20.406254
193.205281,88,20.431851
244.807297,107,20.460354
234.923837,102,20.488309
223.537653,106,20.518112
224.523306,100,20.545013
217.844441,98,20.572829
212.864382,106,20.60149
219.133688,96,20.628829
122.376034,63,20.645792
226.938702,96,20.672631
215.403037,90,20.697206
191.740766,99,20.724669
219.871927,97,20.751439
204.243578,92,20.777067
217.101408,95,20.802712
214.341658,92,20.829
218.367305,94,21.882202
217.878158,95,21.916545
212.978678,91,21.942279
200.036981,86,21.965875
205.339672,90,21.992711
195.799758,90,22.017321
118.111759,64,22.034621
210.773645,94,22.061872
239.251362,102,22.089161
227.837885,97,22.115708
216.290245,93,22.143252
193.213906,89,22.167305
188.776313,84,22.190784
205.163921,87,22.215988
238.377907,99,22.244209
76.073387,47,22.25765
240.145649,108,22.288512
214.963384,95,22.316293
231.802155,110,22.348064
211.18646,93,22.373491
74.438127,42,22.38526
79.875231,44,22.397282
175.300589,79,22.419238
209.02576,90,22.445398
217.196542,92,22.883365
145.283713,73,22.903977
197.034661,86,22.947668
200.025451,87,22.969082
197.606527,86,22.987569
197.58868,86,23.006461
199.393154,87,23.025558
230.324212,99,23.058007
204.956341,91,23.084581
253.731881,113,23.117284
231.735514,124,23.151954
205.272309,87,23.177791
231.170654,105,23.206361
256.772057,120,23.23968
288.713667,110,23.270451
201.771049,92,23.295479
233.934327,119,23.327862
194.407466,85,23.350947
277.703158,128,23.386693
217.948378,99,23.413735
234.10476,105,23.442298
205.89721,93,23.468848
206.876398,95,23.494825
204.129879,87,23.519598
220.074677,100,23.547029
253.050748,107,24.466583
220.527337,111,24.499248
258.906944,121,24.5358
299.342854,119,24.568175
226.986536,103,24.598974
286.260134,130,24.637136
228.859898,100,24.664289
270.837384,104,24.694787
211.847992,93,24.722351
210.624574,93,24.748699
201.007298,87,24.772335
293.965513,117,24.805347
219.526836,93,24.835054
119.066389,61,24.852013
214.565655,98,24.880133
242.784609,110,24.913604
230.236942,105,24.944152
221.828816,100,24.973585
205.616089,89,25.001409
289.682248,112,25.034834
378.271848,183,26.102206
305.390959,129,26.142488
295.484151,113,26.177127
213.643254,98,26.209006
271.209148,144,26.251999
242.371748,97,26.280863
233.128692,108,26.315071
89.530679,50,26.32997
207.857493,90,26.357691
121.346464,72,26.379237
329.919034,129,26.415362
331.76375,130,26.446548
329.193358,129,26.476743
329.731805,129,26.508754
330.025498,129,26.538713
211.594314,92,26.576184
314.984299,137,26.618999
244.467054,107,26.65156
266.349006,122,26.688296
315.32399,142,26.732463
278.971602,120,26.768289
283.7701,107,26.799844
289.738269,123,26.837571
239.167237,100,27.347259
284.63465,113,27.381618
312.537349,141,27.426254
313.183587,135,27.467314
245.762386,103,27.498109
281.935142,159,27.548603
192.845496,101,27.578972
285.076325,120,27.615116
271.61328,116,27.650828
156.169559,80,27.675167
340.504494,134,27.713712
264.608152,104,27.745856
234.869387,119,27.780644
224.24295,98,27.809574
235.81826,106,27.842603
238.232249,112,27.875682
273.07132,129,27.913801
211.610927,99,28.399151
94.533533,53,28.416789
299.80072,127,28.457268
322.113395,129,28.496873
305.926075,131,28.537668
288.785703,131,28.576678
192.6137,86,28.599867
138.337907,71,28.621945
273.770152,111,28.656589
324.76884,120,28.692175
294.501124,120,28.726439
320.988892,129,28.76263
218.040845,97,28.79243
120.544298,63,28.809614
255.024284,107,28.838896
290.429461,111,28.870145
235.489785,100,28.896908
257.556253,108,28.92641
226.878503,95,28.953847
534.922825,190,29.019716
535.115772,190,29.061022
537.197362,191,29.101467
538.178529,191,29.141561
539.837753,191,29.183052
285.920224,110,29.937212
124.822659,69,29.963856
218.228403,108,29.995699
300.371393,121,30.035135
320.24482,137,30.077815
348.667145,124,30.116578
219.541389,90,30.143881
155.015107,77,30.167866
378.137907,149,30.212307
324.118093,139,30.253082
250.211061,122,30.290271
304.241578,128,30.328353
340.744006,134,30.363222
173.53049,96,30.392458
341.992549,130,30.431505
477.40505,187,30.48806
241.866731,114,30.521618
279.038036,122,31.504811
337.426524,124,31.546323
318.924643,127,31.587517
357.113667,164,31.639723
292.604262,138,31.681769
231.956972,118,31.721116
378.901771,142,31.762295
384.156329,144,31.802341
354.033301,134,31.83947
168.203413,90,31.863301
342.648313,122,31.896721
336.292191,126,31.93021
449.496708,180,31.982457
344.268088,152,32.025702
291.625881,153,32.07379
236.111482,117,32.859232
212.061158,94,32.886752
246.152068,128,32.924025
200.881421,132,32.961525
465.915035,172,33.010321
327.039225,140,33.049314
123.839609,67,33.067749
760.681564,260,33.145693
654.387888,235,33.195588
651.007744,235,33.246809
743.584819,253,33.299791
562.717961,189,33.341167
338.509156,130,33.385741
339.894163,146,33.426769
304.926283,121,33.459673
483.007308,166,33.503402
324.842782,132,33.540382
494.154556,179,33.588282
432.352943,194,33.643358
335.518817,143,34.657798
275.203181,134,34.697712
286.568402,123,34.732123
690.563848,272,34.808282
489.327416,184,34.862255
397.351338,180,34.913693
221.686838,96,34.942814
330.098247,126,34.982528
297.681419,123,35.018878
343.596122,158,35.068894
362.262127,156,35.113963
105.233194,70,35.13426
322.869875,141,35.177082
351.883646,143,35.21894
494.606946,175,35.753427
396.014676,152,35.799317
356.438466,147,35.843462
327.469972,170,35.894917
84.744063,49,35.90913
278.794004,120,35.944073
360.323222,154,35.990365
205.18977,102,36.02082
174.135127,99,36.049427
328.604512,130,36.088422
283.864472,139,36.129042
333.769653,136,36.169618
247.523851,116,36.203543
515.599015,208,36.305259
560.998615,220,36.349543
564.06503,221,36.396548
515.372234,208,36.439296
