#{"t_start": 1724772752.1111805, "env_id": "CustomHopper-source-v0"}
r,l,t
22.881217,25,11.701597
106.348309,64,11.77155
15.87692,18,11.792604
86.48432,55,11.850802
11.90757,14,11.865738
168.985596,86,11.955495
37.701298,26,11.984889
83.109394,54,12.039696
81.976235,44,12.087181
135.290016,64,12.150696
71.386681,40,12.190073
9.027083,11,12.201961
178.475595,106,12.307722
46.655229,40,12.350679
183.553547,105,12.453784
167.822493,105,12.556467
62.18006,39,12.597326
4.97294,10,12.608083
26.863448,22,12.632131
1.503681,25,12.658843
63.523902,39,12.697827
36.456536,29,12.726847
71.463085,42,12.770955
26.706062,26,12.796171
24.3972,21,12.817572
82.12332,56,12.875386
109.275147,75,12.949366
117.98389,64,13.013777
80.140456,47,13.063083
92.116981,46,13.107719
72.536274,50,13.15909
9.531066,23,13.18515
67.551097,38,13.223303
82.830071,50,13.275629
103.802624,54,13.327645
101.885349,63,13.394228
17.018538,18,13.412967
76.446679,47,14.665672
24.403492,21,14.699029
112.876694,58,14.779363
73.076423,39,14.827809
123.761712,59,14.892553
39.697827,60,14.952244
127.499976,63,15.011668
88.912241,53,15.06155
106.950108,56,15.12047
91.14799,54,15.171621
63.993448,42,15.212464
99.691678,65,15.27142
48.175586,26,15.297668
79.887454,47,15.342321
90.268749,45,15.385483
86.350731,73,15.453354
9.866453,17,15.471195
112.055034,57,15.524779
130.643875,87,15.605751
23.971896,20,15.626165
19.619579,16,15.642816
68.754023,41,15.686874
84.212935,49,15.7391
84.688372,60,15.79876
61.762937,34,15.837006
115.59465,58,15.898378
90.235565,54,15.954531
51.02346,79,16.031847
75.805018,50,16.081411
220.465308,128,16.20604
163.199356,114,16.318535
15.57302,27,16.349971
61.614403,38,16.399287
45.527542,43,16.449012
67.718851,40,16.49801
53.933407,31,16.524741
55.786542,32,16.548588
53.756485,31,16.570368
53.891747,31,16.591362
54.306108,31,16.611315
123.691135,60,16.68732
70.420346,40,16.734799
184.54849,106,16.838083
71.889537,43,17.969143
107.294564,77,18.043222
76.837299,42,18.087335
79.34517,42,18.128765
131.320539,64,18.194961
73.789018,44,18.23765
89.34362,53,18.295041
106.72096,61,18.355963
75.806464,52,18.412037
100.476021,51,18.465171
169.107424,97,18.5606
86.1811,51,18.613887
194.687928,82,18.698675
74.220522,38,18.736507
123.54137,69,18.807244
71.94835,47,18.853833
199.460551,98,18.949316
75.444213,40,18.99338
77.410446,41,19.035063
56.055824,32,19.06942
101.585371,57,19.127114
251.781638,113,19.270414
50.062398,32,19.314012
149.309142,83,19.412601
68.67165,43,19.462122
160.844608,99,19.572545
130.670291,66,19.6425
58.822888,36,19.682957
206.048726,89,19.772889
75.892442,43,19.820779
72.266234,41,19.861545
117.838848,53,19.921239
9.113527,13,19.935709
174.672182,77,20.017793
217.935413,95,20.117633
165.308998,77,21.100056
126.234297,59,21.156006
128.988545,71,21.227026
141.111308,79,21.300745
208.753315,95,21.394309
145.687813,80,21.490236
52.588127,30,21.529664
93.211542,51,21.5877
175.139646,103,21.710406
68.682946,45,21.764443
155.088201,87,21.863094
170.643168,76,21.955338
156.84814,79,22.04663
16.110607,28,22.079276
144.363713,69,22.160429
88.162211,53,22.221133
76.591816,47,22.274461
223.113172,100,22.38618
231.939329,107,22.487236
187.098963,91,22.577622
113.474662,57,22.635074
210.476149,99,22.730531
134.369257,70,22.800758
57.194277,29,22.829953
74.690538,38,22.868707
149.109795,79,22.949658
199.620366,95,23.043723
70.210288,42,23.073843
97.599361,50,23.126471
110.776249,65,23.18887
79.38666,51,24.233595
132.434915,70,24.303834
211.287193,91,24.394485
238.326469,120,24.512392
154.480806,71,24.595013
84.262667,51,24.654722
206.095056,97,24.76843
205.072741,91,24.876689
213.256392,88,24.980786
210.945358,87,25.033023
213.660014,88,25.086813
211.07396,87,25.138626
212.826849,88,25.192647
110.742992,56,25.289232
78.324784,43,25.342893
213.927955,93,25.450959
60.361899,32,25.484128
221.958613,96,25.578363
56.794611,39,25.617444
74.674784,44,25.660092
166.571728,80,25.739197
214.296107,92,25.830091
205.937761,87,25.913221
123.550116,63,25.980857
161.472576,76,26.059083
195.113328,88,26.145241
98.88168,54,26.200193
100.117149,55,26.2581
98.474286,60,26.317042
128.98902,73,26.393108
93.181174,56,26.450282
74.320782,39,26.488508
71.325377,38,26.529782
66.263433,37,26.569009
203.321138,91,27.680645
163.736116,78,27.770907
203.430745,83,27.865389
222.854615,110,27.995296
229.897005,104,28.117881
229.456341,105,28.241336
234.82748,103,28.359711
249.710864,161,28.548089
199.684056,91,28.633376
216.447426,98,28.725916
277.024428,196,28.915441
215.590636,97,29.016129
159.307262,78,29.096152
153.581497,71,29.171121
221.56483,94,29.267747
209.833482,94,29.36447
199.890842,91,29.458266
226.484733,112,29.573408
87.897307,41,29.615885
220.20911,98,29.712938
97.165973,55,29.771043
217.43763,99,30.820873
199.770812,84,30.90509
208.024612,92,30.993645
249.850191,120,31.108786
235.128295,105,31.207978
208.898274,91,31.295334
212.208201,100,31.396263
232.833324,112,31.502509
211.582908,92,31.592948
206.320298,89,31.67773
144.507749,74,31.743587
68.250013,41,31.788232
220.109107,96,31.881974
258.027914,130,32.008984
95.908443,55,32.075584
216.760496,100,32.192593
205.262295,92,32.299564
89.839877,45,32.351207
195.347134,87,32.437813
192.909552,86,32.490496
195.131573,87,32.53874
195.192885,87,32.591441
195.352396,87,32.640126
218.500496,104,32.762466
232.324058,100,32.879851
220.62117,100,32.995809
125.875173,66,33.060503
223.917884,100,33.156283
220.904416,99,34.249735
224.057059,100,34.347683
190.205972,84,34.431733
213.367048,95,34.525568
244.266191,102,34.625202
256.509007,108,34.72983
197.244907,93,34.821936
208.888216,89,34.910044
141.480083,110,35.014261
202.409049,91,35.098462
46.788931,29,35.134066
237.043646,113,35.2647
189.753028,85,35.364494
197.110849,85,35.463807
199.657281,90,35.567118
143.583556,67,35.645158
216.338962,100,35.760485
222.271575,96,35.871248
251.939577,114,36.004677
165.095984,91,36.107678
200.333511,89,36.191314
201.986964,85,36.271171
99.416666,58,37.447007
213.756904,89,37.537939
210.134968,95,37.635254
229.62413,103,37.742578
229.234667,105,37.850801
213.48725,98,37.961012
205.096603,91,38.062711
229.874479,101,38.175239
215.537788,98,38.286574
55.495272,40,38.331547
197.150325,89,38.42605
211.33783,88,38.513986
205.133269,94,38.61267
191.992109,89,38.694133
180.263788,85,38.77459
192.483714,92,38.858073
260.362429,126,38.976332
233.792573,107,39.075936
261.54359,116,39.196502
209.316715,89,39.290511
235.063596,110,39.395003
182.571586,82,39.468407
189.099318,85,40.627546
222.758497,101,40.723381
215.461731,99,40.813591
116.99497,53,40.861877
237.71336,104,40.971425
197.854531,85,41.072688
199.774454,86,41.137461
199.904949,86,41.191969
197.829503,85,41.24626
197.939624,85,41.29759
207.07353,100,41.406492
111.258133,52,41.457692
