#{"t_start": 1724524147.7140648, "env_id": "CustomHopper-source-v0"}
r,l,t
20.352891,26,4.621889
96.949356,55,4.638779
107.272034,70,4.659443
137.14483,109,4.692637
129.844906,67,4.712393
11.232896,13,4.717443
12.779011,14,4.722999
20.372443,20,4.730171
66.940044,49,4.744945
64.104119,38,4.75703
126.501455,63,5.687488
125.857106,70,5.708494
127.951798,61,5.726245
227.254179,104,5.754955
191.451474,88,5.779271
149.49301,73,5.802234
172.229149,89,5.826968
30.618352,29,5.836139
138.996223,78,5.858154
129.959017,67,5.877079
149.102824,68,5.898114
104.482105,51,5.912764
97.996125,54,5.928075
157.024602,77,5.949366
115.001238,62,5.966709
73.380451,42,5.979073
232.811569,120,6.013143
167.945273,120,6.045348
106.841065,56,6.061417
87.720627,47,6.075168
210.345264,96,6.103245
101.954319,52,6.118207
65.847215,48,6.132043
204.480664,87,6.155775
47.298551,28,6.164614
72.506052,41,6.176718
145.435782,74,6.199616
72.875395,43,6.209229
69.789726,41,6.218431
73.021658,43,6.227441
72.887928,43,6.236487
74.670138,44,6.24561
97.276541,50,6.268267
99.813531,60,6.285083
91.947484,46,6.299773
180.688933,97,7.255678
106.914843,61,7.27987
174.536108,90,7.308748
219.806566,106,7.342253
223.406524,104,7.374252
217.640998,93,7.402125
56.816896,39,7.416279
116.017069,63,7.435834
34.995321,28,7.445541
229.848743,99,7.474885
101.407301,63,7.49443
182.005028,84,7.521366
167.895338,82,7.545597
202.62777,82,7.56989
233.407124,106,7.601091
263.236173,133,7.641157
215.916297,104,7.671947
83.149125,47,7.686601
17.183173,16,7.692426
115.487795,58,7.710067
107.525104,62,7.727392
209.865585,94,7.753514
106.684326,54,7.769123
161.295011,80,7.791018
223.744224,103,7.819787
181.914117,85,7.842964
44.377843,32,7.851924
32.200592,40,7.863649
66.259679,37,8.2637
138.042523,67,8.284827
99.030931,55,8.305398
89.813436,51,8.33253
20.093543,16,8.338437
224.005836,105,8.366389
231.076599,99,8.393869
14.94316,17,8.400078
229.188989,115,8.433246
217.571204,103,8.461443
60.976632,54,8.477036
221.723593,98,8.503848
69.061026,37,8.515038
224.745222,101,8.544117
111.977623,54,8.559625
130.252662,63,8.577434
95.116077,48,8.591391
83.483357,46,8.604852
106.643052,54,8.620333
87.417363,52,8.637276
108.75275,55,8.652824
142.578322,81,8.675013
66.206458,41,8.687225
153.315228,69,8.706636
220.239044,100,8.735757
204.611702,99,8.762863
173.692363,85,8.786487
227.577534,99,8.813739
233.160288,128,8.850042
232.56566,116,9.262923
232.028295,100,9.291767
220.950279,100,9.320402
122.990534,76,9.343989
219.843257,93,9.370405
194.77918,85,9.394096
135.935717,79,9.41654
225.12345,97,9.456536
224.958657,97,9.476929
224.690706,97,9.497274
224.72285,97,9.517581
224.732709,97,9.537805
197.531325,99,9.573693
133.969527,73,9.594543
242.782137,103,9.6228
221.492631,92,9.64999
182.185358,93,9.676401
225.968228,102,9.704626
236.382979,108,9.734167
241.0622,109,9.765752
200.218631,87,9.790286
216.731457,98,9.817597
73.844738,51,9.832617
176.28256,89,9.858948
102.604197,52,9.873641
104.808007,54,9.889134
119.910912,63,9.906866
103.988025,55,9.922473
61.944272,37,9.933665
205.437776,98,10.348982
77.501154,43,10.363629
232.416472,103,10.39273
180.470446,85,10.417136
215.871192,90,10.442287
207.846317,90,10.46881
247.072654,104,10.4979
205.247383,95,10.524278
177.344561,83,10.54776
255.219603,118,10.581318
226.245015,103,10.609966
210.723634,92,10.635707
162.224002,81,10.6595
211.44891,98,10.686566
227.851071,110,10.720274
188.591682,79,10.741946
172.152987,81,10.767131
230.510458,105,10.800073
129.613181,69,10.821848
215.121925,93,10.84535
83.870354,43,10.858947
221.251809,100,10.886078
215.129619,93,10.911508
209.174393,103,11.321044
224.190164,98,11.349113
205.169169,89,11.37635
200.271711,84,11.400286
18.926717,16,11.406379
198.618465,87,11.431324
187.84117,83,11.454592
206.96929,91,11.481543
195.486322,79,11.504012
223.45265,95,11.530506
202.805978,91,11.555767
71.208633,40,11.569192
227.606635,102,11.597533
91.758542,52,11.613183
206.110746,90,11.638146
204.769713,91,11.663601
209.603106,93,11.6909
192.873127,88,11.71526
212.668065,94,11.741674
205.020792,88,11.765575
207.158772,89,11.785816
205.36318,88,11.804553
207.627747,89,11.823298
207.907881,89,11.841991
228.33096,106,11.874853
95.795322,51,11.889705
220.407165,101,11.917796
236.924471,122,11.951835
199.271143,85,11.977367
224.344094,104,12.39009
203.412184,89,12.415277
254.659551,110,12.446792
215.227624,96,12.474022
221.220024,96,12.502959
216.659891,100,12.531364
239.312384,106,12.561146
204.38635,92,12.588921
203.639575,91,12.614497
227.599182,106,12.644955
243.914506,125,12.679691
204.862038,91,12.706602
217.365097,100,12.735385
180.631231,86,12.760273
217.836478,93,12.788411
214.118507,100,12.816704
160.33313,78,12.841617
66.32902,41,12.854262
109.524369,57,12.870584
212.405217,94,12.898593
211.21385,97,12.925822
202.822992,88,12.95037
217.262153,102,13.362803
218.439468,113,13.395798
221.180326,98,13.42343
236.977418,103,13.452099
223.496898,105,13.482953
202.540217,89,13.510469
220.189079,101,13.540688
119.686598,65,13.560484
207.940302,92,13.588118
78.032284,41,13.6022
220.96871,119,13.637063
189.428314,88,13.663285
234.438946,113,13.698118
238.999626,117,13.733013
211.615795,93,13.760812
224.2992,103,13.791217
211.503445,100,13.823221
195.53425,93,13.8522
214.496915,93,13.881306
215.653635,88,13.909215
228.496301,94,13.937077
231.145382,103,14.906183
204.605119,100,14.938679
213.611147,91,14.967113
220.430884,104,14.999309
228.26838,106,15.051248
230.400959,107,15.075454
224.262888,104,15.099185
228.65934,106,15.124267
230.212243,107,15.14845
206.415555,105,15.188048
208.978873,94,15.217833
213.33017,96,15.247236
220.482656,96,15.276593
229.677112,107,15.309643
209.018881,101,15.341782
210.036729,100,15.372239
84.199278,47,15.387676
220.337902,107,15.421105
214.017801,86,15.447322
209.517103,93,15.47563
195.396579,93,15.5046
197.734139,96,15.53513
235.419527,125,15.572206
222.26645,99,15.602248
226.853395,105,15.635111
218.126753,98,16.61238
166.995901,75,16.650885
228.40546,111,16.68561
142.612022,72,16.708321
196.890916,93,16.738728
201.942902,92,16.766644
213.750503,95,16.79651
199.790736,88,16.823838
211.363677,93,16.854196
224.726371,102,16.885378
224.856239,99,16.91578
200.514064,93,16.945688
116.29013,60,16.96337
218.756883,105,16.991018
131.445928,69,17.010215
216.053337,94,17.036284
214.897139,94,17.064111
195.740418,90,17.088848
217.460543,103,17.116657
