#{"t_start": 1724744570.4560468, "env_id": "CustomHopper-source-v0"}
r,l,t
15.058072,40,6.994986
101.097514,83,7.03507
35.783642,62,7.064665
153.010362,101,7.112167
68.459753,42,7.133993
24.115385,21,7.14514
202.834842,93,7.188024
91.734058,46,7.209757
13.99491,16,7.219445
18.517365,19,7.22916
211.482907,97,7.274681
58.611021,33,7.291023
28.881489,22,7.302347
197.856876,83,7.937837
66.626501,45,7.959476
102.558023,53,7.98443
21.373051,20,7.994839
50.107921,28,8.008834
97.242618,55,8.036294
109.404689,62,8.065483
116.462558,52,8.090255
101.016857,58,8.117735
66.624529,42,8.138966
49.716905,28,8.153044
232.2704,155,8.224745
37.040589,28,8.239756
73.421473,45,8.261557
162.324775,79,8.298719
66.108156,34,8.315561
195.796361,83,8.355106
85.564888,48,8.37819
168.467896,73,8.412667
216.03361,92,8.456445
27.558708,38,8.475226
231.661067,106,8.524825
145.801069,66,8.559553
77.162797,56,8.58645
62.84474,36,8.604116
214.230085,94,8.64931
49.761405,28,8.663499
59.123787,36,8.681383
42.900705,35,8.698531
219.871426,95,8.744021
63.62709,33,8.760582
55.601083,31,8.790585
55.909199,31,8.800297
53.572437,30,8.809717
53.320681,30,8.819156
55.673465,31,8.828981
151.902002,69,8.864316
62.568846,39,8.883475
203.417746,92,8.926387
108.833902,66,9.527456
127.079828,68,9.564388
112.681953,60,9.594522
119.112033,61,9.625212
226.499489,105,9.677785
74.774637,46,9.701139
116.55712,62,9.732102
191.137832,90,9.777836
143.365649,63,9.809506
216.260581,100,9.860367
35.956793,29,9.8757
70.212442,48,9.900001
212.896006,100,9.949779
56.084527,39,9.971315
128.221662,67,10.005047
70.325775,44,10.027649
69.539318,41,10.048797
213.501714,99,10.099005
111.511898,62,10.130294
78.038084,53,10.158535
231.328145,109,10.212299
201.446976,93,10.25966
107.501794,61,10.290344
178.096769,84,10.332308
215.709354,90,10.378464
63.652425,37,10.397722
76.828223,41,10.41897
118.45499,64,10.45119
109.20682,61,10.482988
202.7301,86,10.526164
205.564807,89,11.1713
204.043299,89,11.2157
171.930645,75,11.253552
209.044618,87,11.29875
205.629994,89,11.339873
241.166314,111,11.391778
220.899129,106,11.440973
84.342958,44,11.462171
207.28606,96,11.508424
110.81474,58,11.536091
116.901245,58,11.566348
203.366815,85,11.607727
19.056889,21,11.618786
163.821299,72,11.652936
104.941025,62,11.683616
203.195511,84,11.723141
198.862259,86,11.763632
46.556615,34,11.781746
91.779549,62,11.811217
210.227692,88,11.852884
127.420031,59,11.88216
214.107735,91,11.924922
251.537369,108,11.975267
43.031056,29,11.990832
110.35727,57,12.018348
78.637164,50,12.042449
235.034979,114,12.09725
209.145824,95,12.141973
208.591177,88,12.76953
53.459607,41,12.790848
235.524578,104,12.839447
113.841864,64,12.870072
219.799814,105,12.920102
216.817859,96,12.965328
199.870131,85,13.007592
217.982589,98,13.080022
218.3235,98,13.112025
218.211469,98,13.142491
217.941765,98,13.173314
217.692199,98,13.204858
156.097169,79,13.249667
214.205642,104,13.29881
166.140409,82,13.337509
215.526618,95,13.382095
211.889437,87,13.424856
71.98434,50,13.449539
219.647852,94,13.49508
197.348377,87,13.535577
96.66548,49,13.562374
196.012595,83,13.602333
177.51167,89,13.643888
186.176843,90,13.686057
222.481617,100,13.73456
71.269609,43,13.755476
119.56004,65,13.786632
174.607885,79,13.825179
213.430007,101,13.872205
223.877524,103,14.509633
213.055831,94,14.556911
205.783575,86,14.598273
206.643778,88,14.641697
228.99211,108,14.692731
161.198578,81,14.732599
191.809377,81,14.770886
201.703674,92,14.815945
209.12232,90,14.8592
192.902316,85,14.89999
192.131615,79,14.938912
57.986163,37,14.957302
209.66782,93,15.001335
208.617648,93,15.047021
208.286321,96,15.092658
210.353556,89,15.136468
202.575095,91,15.179845
220.710391,97,15.22789
63.021485,34,15.245087
220.70813,98,15.292546
220.696537,98,15.341137
185.844067,83,15.381666
215.488067,98,15.429665
232.93698,106,16.075347
178.838209,84,16.114779
190.605368,88,16.158451
228.99546,104,16.208987
183.292,80,16.249074
185.749719,79,16.288085
199.270189,97,16.336579
185.878567,90,16.381091
208.875947,96,16.429283
206.333857,89,16.472927
208.489599,94,16.519178
197.794682,86,16.564953
195.283036,94,16.610664
202.003864,87,16.654518
214.741226,91,16.699639
249.110271,111,16.752567
195.248469,89,16.793666
204.519402,86,16.852094
204.181084,86,16.878648
204.583142,86,16.905541
204.321696,86,16.933754
204.404738,86,16.960591
217.633974,99,17.009245
219.664358,101,17.058265
181.796829,82,17.097555
217.991388,97,17.144754
198.073839,88,17.186546
247.044405,112,17.786496
210.320822,88,17.828711
222.610331,99,17.8771
202.439688,89,17.91937
214.989441,101,17.968136
201.293476,86,18.008842
205.159288,93,18.054499
215.268442,91,18.097726
196.533248,85,18.137815
237.217034,106,18.189056
214.15981,93,18.23291
209.438843,96,18.279258
226.21894,102,18.327771
234.484487,119,18.385004
66.630931,41,18.405245
128.037103,62,18.435262
202.917562,86,18.477306
220.032797,96,18.523188
209.62281,87,18.568314
201.678342,105,18.617573
232.597957,106,18.669309
206.041322,93,18.713161
222.163777,97,19.302128
244.019094,135,19.366972
200.256311,94,19.411723
230.378566,104,19.460875
218.726165,101,19.509688
214.603017,110,19.565257
215.459094,94,19.609947
225.195222,102,19.658726
220.91676,109,19.711073
211.190868,91,19.75483
219.38859,99,19.803033
200.315846,90,19.845851
221.251585,100,19.895095
214.864848,91,19.938871
164.772087,79,19.977893
222.589702,98,20.025108
233.513606,108,20.077492
202.583901,90,20.120721
221.179871,94,20.165642
177.837697,95,20.21207
180.218144,90,20.254911
200.592606,88,20.846079
198.841682,88,20.888989
211.985881,91,20.932761
206.448918,91,20.976133
208.726274,90,21.038399
211.052993,91,21.0674
211.000717,91,21.097088
210.953121,91,21.125655
211.348693,91,21.154482
53.477507,29,21.171427
210.078396,88,21.214862
214.853416,95,21.260484
224.050319,108,21.313354
206.779123,92,21.357284
93.274091,51,21.382364
230.103542,109,21.435094
227.935056,97,21.481726
224.056908,108,21.534527
204.833422,93,21.581446
212.886045,109,21.634612
212.361689,95,21.680494
196.973178,83,21.721402
197.950201,90,21.764528
213.131504,94,21.810586
216.764347,94,21.855619
239.164542,104,21.905964
218.933787,100,22.499246
225.798685,102,22.550186
215.475497,97,22.59693
193.146857,84,22.638054
213.806736,93,22.682589
207.335312,98,22.730555
206.729498,86,22.771908
194.335597,88,22.814891
202.085439,85,22.855628
211.548508,92,22.899781
210.72596,96,22.946846
209.496798,95,22.991926
217.868484,97,23.03942
228.360719,103,23.088822
258.158918,109,23.141673
187.455178,83,23.181809
230.816358,111,23.236629
93.990032,53,23.262311
226.344654,99,23.31072
201.567286,93,23.354686
231.53376,107,23.40566
112.545927,61,23.436613
211.744125,88,23.478565
211.844683,92,24.070273
170.789051,84,24.110553
178.543442,83,24.151809
220.463364,97,24.198429
212.290334,97,24.246003
237.133346,106,24.296291
228.600912,100,24.345307
201.867248,92,24.389625
199.088114,86,24.432188
190.344894,88,24.474536
198.505366,90,24.518016
223.540463,107,24.572917
214.022076,95,24.619059
197.472891,89,24.663186
212.236986,92,24.710449
209.965832,91,24.740843
209.634637,91,24.769807
209.986365,91,24.798413
210.45024,91,24.828501
205.481712,87,24.87238
234.901216,106,24.923852
210.483094,103,24.974189
233.37067,107,25.025193
221.302161,100,25.074317
170.027304,75,25.111173
217.492119,97,25.159202
147.103683,74,25.745994
205.013485,87,25.787865
213.249255,94,25.832902
236.995674,108,25.88581
230.016562,105,25.936387
201.910761,88,25.979492
224.010527,107,26.033741
222.372401,94,26.081379
205.050511,94,26.128765
178.776447,79,26.170562
200.792257,88,26.216003
212.293914,94,26.261995
206.3241,94,26.306019
202.89508,86,26.347695
222.977116,109,26.399312
220.701697,105,26.450041
206.382696,91,26.493307
226.931876,99,26.540276
211.759368,92,26.587765
216.409167,94,26.632616
201.179352,90,26.676585
208.954776,92,26.720696
201.617561,103,27.377031
198.883599,90,27.422928
226.228121,105,27.47713
115.430519,63,27.509637
193.914208,90,27.558372
213.712974,95,27.606705
208.406053,93,27.653695
211.792583,98,27.70459
206.837003,95,27.752456
216.823647,105,27.806936
197.63289,94,27.8546
221.537369,114,27.913242
199.795049,90,27.958942
199.580401,89,28.005631
193.73825,92,28.052284
236.283322,116,28.112267
57.256652,33,28.130141
204.011429,90,28.177837
190.841405,93,28.225185
210.358161,104,28.279256
204.34171,98,28.32884
210.163973,98,28.380038
215.843294,99,29.047674
219.32738,101,29.100751
218.683089,101,29.143284
220.378449,102,29.179442
218.274412,101,29.21371
219.792143,102,29.248224
220.291306,102,29.283957
227.038883,103,29.344509
200.949463,93,29.393378
216.915343,100,29.444269
217.181853,99,29.496299
212.732085,97,29.5463
74.043973,46,29.572412
230.447767,107,29.628019
208.635525,93,29.676386
193.09981,87,29.722177
211.093342,96,29.771652
203.154776,93,29.821182
227.18128,108,29.875809
207.583079,95,29.925032
195.384997,94,29.982
208.778534,100,30.031708
194.387878,89,30.073272
207.056243,98,30.119886
236.232161,100,30.166798
220.645725,111,30.220365
199.728043,91,30.822034
207.60928,88,30.864497
