#{"t_start": 1724771650.8892133, "env_id": "CustomHopper-source-v0"}
r,l,t
14.64171,16,1.288875
111.268653,84,1.411647
7.711643,17,1.436225
6.612365,17,1.46547
13.612775,19,1.493299
9.88635,17,1.520027
9.72688,14,1.54222
12.827418,15,1.56569
4.284922,7,1.578595
9.24089,12,1.595457
9.439461,19,1.623843
16.792143,28,1.667671
8.882869,18,1.694636
7.314948,24,1.729343
15.339565,23,1.766181
14.921081,24,1.80169
14.33328,18,1.828985
5.2833,11,1.845845
18.177479,17,1.874811
7.89863,14,1.896389
24.338466,24,1.930568
9.898294,17,1.956438
10.186043,22,1.989921
12.563357,13,2.01018
15.274201,21,2.041054
52.589371,39,2.099051
6.85419,9,2.112511
8.031742,16,2.138178
4.681866,8,2.149962
6.205309,13,2.172604
5.528862,9,2.186443
8.459521,20,2.216336
14.649603,16,2.240064
9.151148,11,2.259268
4.669715,16,2.2845
26.524032,23,2.319643
3.543397,7,2.330447
2.799435,7,2.341184
6.419067,10,2.356316
5.821286,11,2.374975
5.789762,11,2.392968
19.312806,20,2.422259
8.490288,19,2.449504
9.441829,11,2.468231
5.916599,12,2.486681
3.59123,22,2.518897
21.842311,23,2.55333
9.393073,16,2.579821
4.676196,16,2.604221
18.77079,20,2.634023
5.60423,9,2.647642
7.778782,11,2.665661
20.238696,21,2.697474
8.616924,11,2.713326
14.468141,22,2.746669
5.51682,8,2.759775
4.799516,9,2.789543
8.222331,14,2.809496
7.99081,16,2.833488
13.06295,17,2.859406
9.687986,13,2.88147
3.878685,12,2.898612
7.01242,10,2.914247
42.274654,32,2.958714
12.871358,17,2.987005
6.181784,10,3.00264
5.400102,9,3.017101
11.281106,15,3.039908
41.644911,43,3.104203
45.318612,42,3.165107
7.966785,15,3.190033
7.262307,14,3.211689
30.387504,25,3.247878
10.700926,21,3.282275
12.567111,24,3.31785
13.577017,19,3.344625
11.624338,22,3.380905
16.733607,19,3.406753
63.286694,40,3.463234
22.870557,23,3.500213
7.062719,25,3.536025
17.39338,23,3.570815
7.104402,10,3.588526
4.39008,7,3.600553
8.040248,14,3.620892
10.726623,20,3.650636
6.898961,9,3.665311
17.263552,19,3.696011
9.538308,16,3.719393
16.796114,25,3.757844
6.919872,9,3.771221
5.783824,17,3.799831
18.069626,18,3.827153
15.267097,18,3.853237
34.983015,26,3.893125
13.09896,13,3.912993
18.295215,17,3.938002
10.360895,17,3.963147
5.431478,8,3.977428
8.222183,13,3.99711
11.601264,15,4.019283
36.739655,37,4.072934
13.265001,15,4.097908
15.314483,19,4.126215
147.97101,76,4.238492
10.15454,13,4.258043
10.450435,13,4.276935
9.641244,12,4.296645
7.414849,12,4.315221
6.798489,9,4.328607
25.000768,19,4.357155
13.269745,27,5.704206
47.956407,36,5.758072
41.149531,39,5.8184
80.037328,56,5.898459
48.976917,60,5.984786
59.673075,45,6.052347
214.499395,110,6.212399
12.65221,14,6.234604
10.872755,13,6.254909
13.785251,16,6.27936
6.241665,12,6.298135
124.499561,65,6.391788
10.984193,15,6.415456
7.464492,17,6.443194
79.597895,53,6.519565
11.90228,24,6.55481
9.286704,12,6.572587
7.01051,10,6.588474
9.553049,19,6.619366
19.328559,21,6.651749
17.916093,21,6.683173
82.557312,54,6.762736
22.695129,41,6.823385
5.939975,10,6.839813
10.435929,14,6.861053
159.949807,102,7.010413
10.817243,12,7.028284
64.888405,35,7.079915
34.526183,27,7.119477
15.736211,17,7.148079
80.068559,88,7.275138
16.177573,27,7.315585
52.309496,47,7.383041
58.677266,34,7.432163
183.536459,77,7.544869
116.558251,63,7.634465
9.247088,17,7.6606
16.027894,18,7.687335
10.444844,15,7.711856
25.764971,25,7.749576
7.39509,10,7.765424
173.650549,87,7.891366
106.706237,66,7.985591
9.975804,15,8.009569
11.133406,18,8.0363
8.700172,14,8.059212
9.639487,31,8.104794
56.914379,38,8.163157
9.102939,17,8.188938
10.273436,29,8.233101
34.364743,30,8.277123
8.970543,14,8.29823
25.669218,27,8.338287
8.564087,15,8.362896
8.321113,11,8.378404
34.869537,35,8.428999
21.366758,22,8.463912
92.678612,50,8.537093
7.640002,11,8.553864
35.841202,30,8.598547
27.453585,32,8.645527
97.599692,66,10.030816
16.344491,33,10.078588
13.097675,20,10.108767
56.498007,40,10.168089
92.17294,64,10.260513
9.724216,20,10.290678
12.370577,17,10.317742
117.243943,61,10.405331
103.464981,50,10.477096
22.175975,29,10.521554
7.760532,11,10.53798
71.23728,49,10.61043
235.29351,124,10.790658
121.943048,67,10.886545
167.843326,82,11.008183
44.873633,42,11.070372
8.281786,13,11.08995
9.198056,24,11.129186
13.402689,16,11.153185
58.666687,71,11.256996
73.412208,40,11.31596
60.60725,37,11.384846
58.95468,36,11.412579
59.022999,36,11.440749
59.320197,36,11.466525
60.695768,37,11.494332
15.848858,16,11.532727
29.683965,31,11.580081
10.02425,13,11.599514
34.169731,54,11.681182
129.043736,59,11.769022
22.215512,17,11.793688
11.160936,12,11.813421
59.221069,35,11.86435
70.636488,47,11.935573
9.4334,14,11.955765
8.790742,13,11.976184
6.459923,13,11.995938
35.854,37,12.052005
24.055835,22,12.083995
8.803063,10,12.098917
14.876837,15,12.122768
32.119404,40,12.182434
102.262405,52,12.260487
82.942221,46,12.325542
132.475528,64,12.416764
116.611297,60,12.505591
150.23961,73,12.609594
71.959515,47,12.681099
9.86146,20,12.711709
32.26244,36,12.767128
88.694404,48,12.841178
65.160547,39,12.89834
70.685507,38,12.956369
42.915728,62,13.045718
10.646359,17,13.071566
8.436892,15,13.094962
70.779877,42,13.158642
18.483523,30,13.202682
65.644019,37,14.56596
206.762319,93,14.69874
87.184157,50,14.772556
104.843867,54,14.852273
63.700756,43,14.915701
102.072327,58,15.001942
78.760564,44,15.067321
83.991341,44,15.131931
235.430417,110,15.291613
7.131428,9,15.306397
65.16015,42,15.366114
75.782803,41,15.42697
142.773902,74,15.537665
89.309778,65,15.630769
112.693132,60,15.716956
138.724416,73,15.824718
85.368335,57,15.908853
111.4265,63,15.999228
131.812729,68,16.096317
152.286272,77,16.20969
204.330475,93,16.34151
198.673105,111,16.500321
59.38181,41,16.559545
81.104394,43,16.624686
101.056691,88,16.749977
138.103278,64,16.845089
135.445506,61,16.934516
183.897098,94,17.071214
58.450454,34,17.123261
40.162108,31,17.17018
9.039743,12,17.188856
24.049699,23,17.224693
98.657445,52,17.302631
91.757688,58,17.386533
38.24756,31,17.434157
25.52879,21,17.464761
89.668155,50,18.869362
94.806913,62,18.96521
120.252998,62,19.063085
84.256384,55,19.15286
87.135649,55,19.243062
216.656479,102,19.398095
215.476284,108,19.560698
116.630064,58,19.658387
230.119361,110,19.85475
247.580204,121,20.03907
38.809751,31,20.082887
96.65354,59,20.169681
171.269905,79,20.285947
48.623095,30,20.328985
47.804626,33,20.376649
98.524431,53,20.454712
52.313739,29,20.496821
134.864871,69,20.593475
121.352851,70,20.692688
128.44018,61,20.780249
228.08779,117,20.943679
16.351714,20,20.972334
25.272283,46,21.033774
211.592263,97,21.170915
197.877997,93,21.299192
115.403495,58,21.380466
201.429547,98,21.521861
58.185615,34,21.573937
54.308526,32,21.595186
57.940201,34,21.618636
56.335065,33,21.640463
57.846589,34,21.664758
152.873314,75,21.773359
116.009122,64,21.860434
227.730308,117,23.278888
142.970229,68,23.376122
221.831565,94,23.506252
227.138296,112,23.663549
39.963829,31,23.706578
205.484538,94,23.862707
118.29007,58,23.966573
91.52921,46,24.039644
213.611593,106,24.195322
211.808938,95,24.332133
227.225386,106,24.480251
153.93163,68,24.579596
198.212076,85,24.698915
213.075377,90,24.829144
23.655177,43,24.88854
94.435737,52,24.96912
122.094145,66,25.086569
108.288442,59,25.191526
201.003958,92,25.334598
40.923653,30,25.379997
214.660188,91,25.510415
62.885928,37,25.566809
48.436879,29,25.609287
57.826333,34,25.658443
58.132735,35,25.707417
209.587421,87,25.843722
152.794284,85,25.993426
216.929051,100,26.155185
9.698493,12,26.174245
222.686074,98,26.316334
54.143963,39,27.643466
71.233079,39,27.698279
70.956128,40,27.754063
44.534053,35,27.805127
233.873355,99,27.94101
193.533654,83,28.056599
226.98713,104,28.206561
53.154789,36,28.257487
186.527563,85,28.375523
183.163018,82,28.488882
63.766438,37,28.538575
223.981387,99,28.675601
144.438899,68,28.76987
89.122495,50,28.845479
78.237006,42,28.904786
117.993073,57,28.985093
204.337525,91,29.112474
199.101297,92,29.242587
153.061432,75,29.346461
209.312998,93,29.47666
96.359502,55,29.553524
225.034061,104,29.694944
79.201972,45,29.760498
204.591478,89,29.884868
128.297563,74,29.990775
103.284172,52,30.066037
208.097844,91,30.194425
157.424386,71,30.290447
167.495438,73,30.391176
72.563507,40,30.449005
234.390823,107,31.862918
186.757987,93,31.990819
81.541704,46,32.056556
227.766405,99,32.195874
97.84035,54,32.269868
51.462348,34,32.317677
83.127718,44,32.38048
168.702303,79,32.492509
241.878465,108,32.639625
202.547146,90,32.757895
202.853444,90,32.820963
202.223628,90,32.887059
203.757868,91,32.950909
204.382961,91,33.016497
182.681089,86,33.146969
215.276022,94,33.280276
147.008115,75,33.382968
97.039748,52,33.455405
198.624875,98,33.592959
103.511659,59,33.678237
100.126221,57,33.756266
66.911131,40,33.813691
190.244994,81,33.925256
105.699078,55,34.001338
157.717905,73,34.102008
84.594978,48,34.1716
166.421475,81,34.287999
175.120563,77,34.396483
85.105044,43,34.456806
79.044572,48,34.53933
113.330544,56,34.642281
147.60667,78,34.76959
65.624368,34,34.821954
50.484968,30,34.869054
206.097232,91,34.999888
205.389616,95,36.433531
195.724733,87,36.559299
138.299628,67,36.656317
225.595825,102,36.825483
248.241626,103,36.992515
160.678601,76,37.106544
211.132101,90,37.238074
218.132413,93,37.373971
112.598278,57,37.458653
202.013846,91,37.590635
220.824828,102,37.739384
214.813476,92,37.875786
152.235426,77,37.989838
83.047716,50,38.064081
219.223076,97,38.205226
234.383381,105,38.357785
162.988895,76,38.474533
228.017964,99,38.624707
114.688963,64,38.719037
237.26436,99,38.85893
67.781631,42,38.920691
192.082385,86,39.051888
213.05836,91,39.220968
196.754444,90,39.36259
230.950232,95,40.763865
201.103222,103,40.91419
214.728365,98,41.051066
197.669228,93,41.18672
193.873125,99,41.324924
204.406343,95,41.457455
119.480653,58,41.545096
199.247852,89,41.674602
214.361401,99,41.817268
225.678724,101,41.959464
193.440529,88,42.082765
241.825725,110,42.235589
142.591005,65,42.324872
237.26601,113,42.482353
134.334323,70,42.588354
140.817322,75,42.697607
122.34773,68,42.802946
83.547574,47,42.897243
207.985321,89,43.065892
210.202451,90,43.141551
210.253209,90,43.213317
210.178609,90,43.282222
210.159382,90,43.353104
246.21989,116,43.5391
203.618359,92,43.678707
214.145679,97,43.828132
241.856572,112,43.999599
209.9957,92,45.518363
27.015563,22,45.548343
45.390321,32,45.594696
155.864213,96,45.735317
208.860302,105,45.887442
226.747446,116,46.058698
89.253013,51,46.136575
199.552697,90,46.264714
208.302448,92,46.40042
240.399655,107,46.556427
217.182327,99,46.697865
195.630241,91,46.832515
224.343952,108,46.995374
118.510552,66,47.09668
228.80615,106,47.24668
99.525623,53,47.321461
252.823393,107,47.469151
221.731857,105,47.623192
218.84402,101,47.816996
83.095407,44,47.891903
228.495421,102,48.052554
261.456194,115,48.220628
297.988458,129,48.428289
235.704627,98,49.98282
252.410233,107,50.138677
210.63633,93,50.278647
256.115923,103,50.430437
267.476125,115,50.597655
223.067923,100,50.736575
176.584936,91,50.866085
204.655703,89,50.989534
233.418841,100,51.130299
204.508798,90,51.251887
190.360567,84,51.369157
231.252532,104,51.514286
242.762748,104,51.656699
227.324463,103,51.801117
225.659648,101,51.935056
208.930903,93,52.060879
200.976985,94,52.193508
215.135802,92,52.317904
248.054083,121,52.486808
221.888061,100,52.62044
240.599319,104,52.764703
155.149355,71,54.119553
210.501775,104,54.264261
162.629672,92,54.389499
219.598139,97,54.526664
204.476147,92,54.654544
219.390055,94,54.740288
219.54971,94,54.805233
217.303092,93,54.871773
218.429382,94,54.937481
218.908327,94,55.002067
206.991261,93,55.146
267.271763,118,55.306648
224.477972,99,55.444344
206.584666,97,55.578248
234.33782,105,55.724521
233.488602,103,55.865844
189.824171,91,55.991875
211.133974,102,56.134096
205.629798,94,56.262709
224.851748,104,56.406791
74.439029,41,56.464313
220.814331,99,56.5974
215.293492,99,56.73518
151.123133,71,56.831228
244.51544,103,56.97181
195.036497,91,57.096268
243.402205,96,57.230163
221.774125,98,58.633776
211.702965,101,58.771137
202.331789,89,58.891919
232.006055,101,59.025932
225.627109,101,59.168436
298.565356,121,59.335202
80.182741,48,59.402076
244.955988,110,59.550971
221.212805,99,59.687849
118.429554,60,59.77288
229.344458,113,59.928834
237.65955,102,60.067777
58.463091,34,60.118737
192.233674,90,60.245111
259.275273,108,60.391057
74.212984,42,60.449873
297.546385,124,60.624078
120.458885,71,60.720922
194.312942,98,60.857606
225.084089,101,60.995738
200.46645,95,61.131396
221.590477,96,61.265643
198.482439,98,62.649391
226.990426,100,62.784904
304.221953,121,62.951568
255.413898,111,63.101911
211.852348,93,63.230406
297.492736,133,63.41181
229.805122,96,63.544956
221.144081,101,63.685749
230.749132,102,63.823945
217.040354,95,63.952368
232.519092,116,64.116839
214.25703,94,64.246773
260.619976,107,64.502285
263.29036,108,64.57692
262.417489,108,64.648852
259.29952,106,64.721958
260.376957,107,64.796127
207.190338,91,64.93001
230.026382,97,65.064161
220.180038,103,65.209468
307.116798,122,65.372127
237.341189,107,65.519962
224.568727,93,65.646059
265.831189,108,67.050088
233.516874,124,67.222825
238.241043,103,67.362043
195.300189,91,67.488174
216.915501,98,67.620989
258.821687,117,67.779635
267.694204,124,67.948204
256.100916,115,68.104458
200.005093,98,68.240227
222.964477,110,68.389931
219.342673,98,68.520328
149.575942,76,68.625566
231.845087,98,68.760659
201.241618,95,68.888569
243.801084,109,69.035112
240.171296,115,69.191139
241.812019,107,69.33418
235.691586,100,69.473719
220.811298,103,69.617132
278.671962,118,69.777806
319.609232,129,71.2219
257.029419,106,71.370581
311.205841,129,71.547315
287.842384,120,71.710425
304.229592,120,71.869649
335.161578,132,72.049891
331.829781,135,72.237394
260.071775,106,72.380002
254.026699,106,72.522406
251.372894,105,72.664325
336.358205,129,72.834969
296.619422,121,72.995042
240.361514,110,73.144465
320.093965,123,73.308734
233.2371,108,73.45416
219.158711,114,73.606973
320.541497,134,73.7845
230.353112,98,75.168561
317.126497,126,75.335754
306.54134,127,75.465442
307.304534,127,75.552807
309.008216,128,75.641339
305.263007,126,75.726792
306.705671,127,75.814071
348.244987,131,76.000547
300.627377,113,76.155858
287.169379,121,76.319508
270.834275,113,76.473658
219.929666,101,76.610645
305.627368,122,76.779018
253.405915,113,76.931984
259.440869,119,77.095077
89.017005,57,77.175297
185.517574,83,77.28756
219.798974,108,77.433384
332.055681,141,77.619455
309.376896,126,77.790856
263.661345,120,77.950929
230.241546,107,78.093383
146.19636,72,78.196778
343.361538,136,79.666204
314.772262,142,79.863485
362.511518,149,80.087433
297.401775,134,80.30011
295.073343,126,80.482459
183.041258,84,80.599855
301.120952,131,80.785436
376.032108,137,80.977176
297.08016,123,81.152713
328.311936,132,81.333928
356.546458,148,81.530062
117.867943,63,81.619309
275.046521,116,81.791452
320.442667,134,81.983135
348.322231,140,82.179086
304.446097,123,82.347067
320.626644,130,82.527535
352.292549,136,84.058313
348.811322,136,84.247098
139.941394,72,84.345983
381.360322,147,84.544635
229.621465,104,84.687765
368.828688,148,84.888512
337.677198,144,85.086311
318.667584,134,85.275424
341.024389,133,85.490374
336.898685,133,85.58453
343.297266,133,85.682223
345.707924,134,85.786725
340.400575,133,85.888973
321.960574,138,86.098051
329.698276,121,86.271845
346.632128,140,86.47113
303.519573,122,86.647099
332.937552,140,86.849858
317.409705,121,87.018945
312.010225,130,87.206179
362.899758,135,88.931805
175.233282,90,89.074683
338.599604,137,89.2839
168.97683,83,89.432272
350.474587,131,89.640556
273.886979,117,89.820009
371.626824,146,90.059762
316.636237,127,90.256169
351.625071,155,90.499914
324.619513,127,90.681802
320.083781,127,90.881873
538.422632,191,91.189028
339.349455,142,91.411941
331.03979,129,91.605157
262.261916,114,91.779568
326.050593,124,91.990535
359.21691,143,93.588577
327.630988,134,93.793574
307.059556,127,93.975906
358.649145,142,94.181709
249.922303,100,94.318412
296.145843,127,94.500185
331.320629,124,94.674115
358.379373,132,94.871078
324.842284,148,95.087367
363.403544,140,95.301449
325.156282,136,95.489318
346.726494,142,95.69021
334.27791,153,95.910235
367.835028,143,96.104298
185.518763,88,96.233985
380.034376,143,96.39855
378.222349,143,96.529926
377.371885,143,96.655501
368.29677,142,96.772627
376.074559,143,96.877459
359.005606,137,98.426454
274.257283,117,98.595364
334.966947,133,98.779417
323.483438,134,98.959746
341.2425,149,99.184527
295.062934,118,99.346195
327.058846,124,99.520834
339.086709,130,99.717524
343.275866,144,99.921363
393.993546,156,100.140806
304.556688,127,100.322782
358.247596,145,100.530637
184.851232,85,100.652426
189.360221,95,100.786445
319.030347,126,100.961474
334.043588,134,101.156694
333.646067,139,102.628826
363.198823,150,102.832563
315.925067,123,103.001492
318.636395,136,103.196123
342.3818,129,103.379747
296.578184,117,103.538497
356.187496,142,103.733877
325.662499,135,103.919572
294.837655,127,104.105391
326.380003,139,104.330133
270.556319,115,104.517782
328.112542,137,104.74498
340.258544,137,104.944821
385.99201,145,105.154073
298.940625,121,105.326449
335.662578,129,106.821473
357.459215,130,107.021095
364.447877,144,107.222806
322.774329,127,107.397069
357.96304,132,107.593092
400.129203,144,107.815356
367.352753,143,108.027651
612.47893,205,108.179558
613.345584,205,108.322449
619.667496,205,108.464883
617.7905,204,108.606346
616.817484,205,108.755179
605.415919,198,109.038171
352.928705,138,109.229758
425.016761,161,109.449018
241.326921,116,109.608336
477.179101,178,109.852161
371.78058,151,110.064031
284.52348,116,110.229984
341.067973,126,110.431067
398.125971,141,111.972019
328.14468,139,112.176603
390.408841,148,112.383687
211.021562,94,112.514459
596.538511,197,112.782542
352.72426,136,112.98759
325.814918,134,113.211954
386.850838,149,113.432305
321.896771,133,113.618381
384.384607,144,113.822967
350.275258,133,114.011568
508.09169,168,114.280457
324.115263,129,114.47669
369.394913,134,114.661797
337.585748,134,116.141121
313.177701,128,116.31703
281.498627,120,116.497219
401.546301,158,116.756366
349.310757,135,116.966914
352.845212,131,117.158056
338.268428,135,117.348004
475.729037,165,117.570821
365.669921,143,117.77253
460.812283,162,117.994006
318.660948,137,118.186159
416.349704,155,118.412718
72.168791,42,118.485372
672.682872,213,118.819802
669.138906,212,118.976464
670.325592,212,119.12922
672.123267,214,119.285675
670.545039,214,119.435053
581.621127,195,119.757222
563.569016,189,121.395906
371.760536,134,121.585114
424.218365,142,121.785917
384.154112,155,122.002385
97.211542,54,122.079088
446.227002,155,122.296427
549.391792,201,122.573832
374.372015,142,122.771359
141.869099,74,122.873862
325.401133,128,123.051589
315.175068,126,123.230768
336.911156,129,123.405974
556.306103,190,123.667233
307.862053,128,123.845033
450.603604,159,124.069565
388.313753,144,125.517132
730.588747,246,125.863919
487.212795,173,126.13996
391.713409,153,126.372274
717.044217,238,126.704987
597.99389,205,126.9925
727.14717,243,127.375353
352.457655,141,127.572289
604.883123,213,127.866254
368.927585,146,128.06553
552.704669,183,128.318438
176.704539,83,129.690813
531.102172,177,129.933882
589.841533,192,130.200195
404.141888,143,130.399049
620.31083,196,130.562168
630.461792,199,130.698789
609.24934,193,130.833872
616.233954,195,130.965228
638.310247,201,131.102652
355.729569,127,131.283617
330.003688,130,131.46289
559.681016,198,131.734414
144.620315,75,131.837235
348.102619,136,132.02489
318.881416,134,132.21456
529.293771,195,132.483826
626.642111,197,132.757865
501.437387,172,132.996666
698.07064,236,134.677406
384.95906,140,134.898512
328.488058,145,135.11784
405.021623,144,135.327631
582.166721,210,135.648936
258.604003,109,135.818266
726.806849,223,136.170592
421.987283,151,136.400801
607.203587,218,136.734819
667.406342,196,137.049834
469.351985,156,137.300354
326.93259,140,137.526298
621.984328,208,139.219129
393.835847,142,139.42418
607.690154,211,139.744983
234.149568,104,139.930587
421.260238,156,140.198787
688.669157,211,140.551932
414.071282,150,140.813227
364.612588,134,141.036536
480.402493,160,141.308187
178.582889,83,141.446111
912.516992,278,141.712979
870.514595,259,141.90201
964.550299,293,142.105492
716.704155,226,142.282839
915.451586,280,142.471945
736.294428,256,142.893147
614.569405,202,143.193773
515.319515,169,144.854959
614.547692,209,145.191997
796.58457,261,145.552471
610.339274,204,145.841605
423.241628,158,146.061957
1042.073,408,146.629298
627.365099,208,146.930075
400.330352,159,147.175739
622.107307,225,147.496527
689.199544,209,149.142266
695.118071,222,149.472073
468.903041,157,149.706761
810.715463,283,150.106207
721.580264,245,150.439434
581.683518,198,150.705681
622.144584,211,151.026664
589.374536,180,151.305554
944.221346,277,151.725375
434.330192,174,151.980789
399.64577,156,153.495724
342.428592,139,153.700109
662.892746,202,154.033016
547.398375,175,154.184096
661.946511,202,154.345982
654.57874,198,154.501962
647.413643,196,154.661029
636.084115,204,154.948732
370.636637,152,155.15769
595.269528,187,155.414226
747.211082,263,155.820817
620.737714,204,156.127574
643.657729,216,156.438351
620.228477,210,156.736279
543.341527,192,157.024203
689.559683,206,158.725071
411.38909,140,158.9189
434.248965,149,159.128277
707.767513,243,159.493115
188.874682,86,159.611068
752.168979,250,159.950262
413.65989,138,160.140784
627.583681,208,160.42414
610.847848,202,160.694325
566.847152,182,160.943246
578.043626,192,161.206234
903.452395,293,162.970894
632.581454,214,163.306513
651.966578,224,163.63846
570.492558,208,163.92405
384.208993,141,164.123748
164.200137,76,164.229823
554.892397,183,164.483258
866.247352,279,164.734287
852.493613,276,164.932754
1027.35933,323,165.162131
861.880322,278,165.354894
849.939365,275,165.548188
519.006837,174,165.816017
645.912632,203,166.122017
524.789742,165,166.355961
201.705295,105,166.503048
459.172834,164,168.050188
643.474078,216,168.357706
383.826794,132,168.531883
171.312164,87,168.64883
644.329502,211,168.946429
410.415445,147,169.175101
402.496302,140,169.395369
767.661018,234,169.768213
615.860583,219,170.098912
1058.428418,340,170.577778
485.414177,167,170.834473
647.124737,219,172.432026
664.842958,209,172.712368
514.287406,168,172.966026
545.941965,178,173.246752
556.79491,198,173.53313
603.622867,194,173.856365
630.499371,197,174.178464
537.268787,183,174.46748
821.213307,267,174.878312
548.930861,189,175.180367
493.347417,174,176.744556
637.381972,205,177.079269
793.933704,240,177.24625
627.745997,201,177.409807
635.346733,204,177.561986
865.204441,275,177.780857
588.764144,197,178.080092
968.202125,314,178.551635
603.955109,203,178.833263
647.239265,219,179.150436
385.806762,134,179.357163
545.019494,211,179.669759
380.231581,133,179.861796
734.979388,223,180.174356
549.731558,178,180.423731
677.461548,197,182.019575
801.65744,282,182.417482
476.538925,156,182.661096
395.072032,143,182.892473
556.067965,199,183.179833
508.420598,164,183.411826
636.7049,207,183.720745
881.452094,317,184.173149
644.445193,209,184.462917
293.336122,127,184.64787
804.355826,280,186.294909
760.599956,236,186.626955
541.511297,165,186.872698
481.399544,166,187.117796
860.384225,279,187.50441
738.442593,215,187.736708
736.242034,215,187.890588
747.588366,218,188.059199
580.49553,179,188.203311
598.6732,180,188.339498
705.27515,230,188.705253
400.777002,170,188.974607
698.884619,208,189.284858
466.683782,156,189.509433
383.131337,152,189.748075
548.066167,184,191.361913
476.580405,158,191.594337
587.917377,195,191.885093
576.117919,177,192.140657
606.565424,178,192.392147
471.54062,161,192.629479
422.433102,151,192.855418
561.030544,170,193.111308
441.98263,158,193.35656
406.146368,138,193.552124
574.218591,172,193.788139
524.206864,168,194.040077
1093.405691,352,195.911688
713.958403,234,196.23537
472.800792,154,196.44787
569.695315,186,196.705685
676.817078,209,197.005296
393.933083,140,197.223596
648.265489,211,197.526042
954.474147,317,197.975005
494.616685,159,198.19627
608.603171,182,198.485262
609.235188,184,198.634923
741.453731,214,198.799587
607.154913,184,198.942612
617.082097,186,199.088038
536.907274,159,200.640814
555.387924,174,200.893191
614.652572,196,201.169387
605.628001,207,201.455578
630.582427,200,201.72859
1068.303781,344,202.201788
514.42301,181,202.478103
664.31039,197,202.784652
577.623307,194,203.062403
453.091208,151,203.27515
462.137653,147,203.47528
405.422897,156,204.968966
782.928696,239,205.300695
567.839076,172,205.549906
615.007924,190,205.823024
563.826481,183,206.106671
767.454423,239,206.518983
1282.168125,500,207.301622
555.145018,179,207.558874
706.522185,230,209.274922
823.880308,261,209.667056
752.773196,239,210.055176
758.319498,232,210.432129
632.18325,202,210.621771
640.672807,210,210.774638
634.030813,202,210.912886
634.53533,209,211.053564
641.268612,212,211.20676
541.472527,176,211.488908
500.452345,154,211.702401
951.972094,320,212.172729
373.837002,139,212.393384
683.457633,214,212.735393
1174.453004,429,214.754586
662.324366,192,215.031946
707.351918,217,215.390275
559.972326,176,215.655609
611.332626,196,215.937421
962.089176,308,216.409543
389.815695,146,216.637676
617.157262,185,216.896758
558.625537,167,217.1682
761.957706,249,217.552606
597.509735,177,219.169757
656.52621,217,219.485745
672.712589,214,219.820853
627.398868,199,220.113096
796.265972,242,220.459763
615.864826,191,220.749802
686.690762,230,221.109406
606.317171,195,221.634956
614.257057,192,221.773893
606.625762,193,221.908328
617.764567,192,222.042369
609.793646,192,222.182109
546.472154,174,222.423012
590.749196,174,222.664999
637.363207,193,224.294026
601.96602,206,224.581799
647.920597,206,224.907229
598.339329,203,225.228851
673.983173,205,225.526112
611.103021,182,225.781788
890.573377,264,226.149696
892.516439,310,226.582061
574.494517,182,226.856945
1153.56827,385,228.72818
300.65597,115,228.897209
617.570584,198,229.248656
1253.727261,429,229.894305
623.216344,183,230.196856
929.484331,301,230.692173
757.030782,250,231.109777
514.493415,181,231.398448
