#{"t_start": 1724700565.233639, "env_id": "CustomHopper-source-v0"}
r,l,t
5.032169,12,0.949136
6.229957,10,0.955928
8.014279,14,0.966498
16.627665,17,0.974895
5.066605,8,0.983
22.683837,20,0.993691
7.070898,19,1.004193
9.692432,12,1.01436
6.493188,10,1.020639
10.433062,16,1.029672
8.638713,36,1.051732
9.950507,15,1.060359
48.46393,32,1.08153
14.422268,22,1.093504
5.389803,9,1.099137
6.518947,9,1.10474
7.679323,12,1.114994
7.323103,10,1.121268
5.907668,12,1.128523
33.823576,31,1.148035
14.88868,16,1.157061
78.314527,56,1.189127
15.803455,17,1.198626
25.079929,28,1.216802
64.304416,51,1.24733
7.431994,15,1.256068
8.308116,16,1.270281
7.112741,14,1.278466
47.948537,41,1.303193
4.540272,12,1.310398
8.941118,16,1.319681
7.559875,10,1.32579
7.853791,11,1.335922
6.308801,17,1.345609
20.074901,16,1.35474
6.887218,15,1.368149
1.554156,23,1.380799
5.593876,8,1.386032
6.95255,12,1.396662
41.344429,37,1.415907
11.647088,17,1.428764
4.593224,9,1.434611
7.274157,19,1.445272
105.128658,62,1.480667
53.165508,30,1.499786
15.120792,16,1.509036
14.970418,23,1.524896
6.338761,10,1.530969
6.207857,16,1.540299
10.910604,14,1.551492
20.202386,20,1.562686
12.945588,14,1.571974
9.217263,30,1.590467
22.872425,25,1.604096
14.553367,17,1.616403
10.963499,16,1.625586
9.938954,21,1.63713
10.494094,19,1.650217
5.913177,8,1.655344
8.897298,12,1.662698
42.098149,31,1.682626
12.464949,14,1.690918
23.996559,42,1.715209
5.804675,11,1.722198
115.221729,62,1.756194
10.524104,16,1.768057
8.876654,12,1.776661
10.093368,15,1.785485
6.256768,9,1.79125
5.985299,12,1.801051
5.819615,9,1.806653
6.881693,11,1.813367
10.924945,12,1.82057
5.25005,11,1.827451
5.873252,9,1.83479
7.695991,11,1.841551
12.048048,16,1.850808
7.130273,10,1.856762
5.720133,17,1.869147
16.41002,19,1.880567
26.319505,22,1.8956
4.705537,10,1.914142
9.337792,15,1.922461
8.424297,11,1.930837
9.351035,14,1.938934
11.849239,15,1.947591
6.489668,10,1.95371
14.82829,16,1.965285
14.747966,35,1.984763
34.241737,35,2.005592
26.079472,22,2.020615
