#{"t_start": 1724715016.118163, "env_id": "CustomHopper-source-v0"}
r,l,t
46.661158,54,0.950021
48.571597,37,0.968948
18.29107,18,0.981634
4.363476,21,0.993056
5.323575,14,1.001171
7.620651,10,1.010076
7.051849,13,1.017802
7.322729,12,1.024835
8.836077,12,1.031644
5.395983,12,1.04152
34.490181,43,1.064566
17.925399,18,1.077322
8.100216,14,1.085176
26.413529,22,1.097117
11.888985,13,1.107213
8.823066,19,1.117906
7.601987,10,1.123756
5.304921,9,1.129357
13.172419,15,1.139847
9.912275,12,1.146793
28.561244,25,1.161125
5.201347,17,1.172153
12.694659,21,1.183799
10.028695,15,1.192051
35.615875,35,1.212527
4.859129,14,1.220565
11.0826,13,1.230626
22.948301,21,1.242133
50.367661,36,1.264462
5.512406,18,1.274264
7.973563,10,1.280165
10.690909,15,1.291557
9.928719,14,1.299371
10.705982,13,1.307206
18.568023,22,1.323519
5.597579,9,1.329317
12.922138,15,1.338037
10.922261,21,1.349161
16.344532,27,1.36656
37.805976,33,1.383103
8.885145,19,1.395217
4.109791,11,1.401296
8.783737,11,1.407319
7.314559,9,1.412559
6.350748,9,1.421124
48.930741,42,1.44116
14.044942,16,1.454588
20.571855,19,1.464453
11.348759,18,1.473811
11.912127,13,1.484305
10.404614,13,1.491221
25.911756,25,1.503766
90.760723,56,1.532798
11.437643,12,1.542559
13.91315,29,1.55778
21.273376,34,1.577753
16.54706,15,1.585756
11.009376,14,1.59326
4.039897,15,1.601372
8.479445,12,1.610832
8.072111,10,1.616462
7.524927,11,1.622646
41.21048,28,1.639535
21.828368,34,1.657389
6.847757,24,1.673203
195.190434,92,1.718276
8.654659,12,1.725031
7.860408,11,1.734046
5.345751,17,1.742824
7.80852,15,1.751
4.048797,18,1.764524
11.678687,14,1.772419
8.303679,11,1.778505
5.427426,14,1.786184
16.123672,19,1.798913
9.467137,11,1.805107
25.604464,28,1.818998
10.018449,11,1.828125
5.009419,8,1.83299
18.806591,19,1.842868
11.772834,15,1.850863
72.992877,57,1.880733
35.170857,29,1.898731
5.992272,12,1.905458
12.283889,14,1.913174
7.949391,13,1.923307
4.501822,7,1.927677
12.268906,27,1.941359
12.933955,16,1.9528
28.509532,29,1.968295
44.213401,34,1.987922
8.705689,11,1.994099
6.604157,10,1.999877
9.660023,11,2.006173
42.851699,39,2.027976
41.877929,39,2.049807
8.653131,26,2.06401
6.563497,9,2.069698
14.380545,17,2.081407
19.540285,22,2.09266
65.518386,59,2.66956
16.134905,16,2.678558
39.467704,40,2.699831
6.375322,14,2.707407
5.535289,12,2.714274
4.862368,12,2.721006
10.805608,22,2.735337
8.546205,10,2.74098
8.796721,10,2.746627
11.492848,13,2.753743
9.670684,15,2.763738
16.89169,22,2.775753
56.108632,34,2.794433
97.696377,70,2.828885
31.649577,37,2.846788
8.494731,30,2.863742
18.376557,26,2.877824
58.588968,31,2.895802
18.536554,29,2.910391
10.232321,15,2.92042
14.464052,21,2.931035
12.811244,33,2.949042
41.283951,43,2.970838
20.038585,18,2.982173
9.895966,11,2.988332
61.57932,38,3.006182
7.009378,10,3.013862
12.194187,16,3.022398
81.713706,45,3.045812
20.770393,22,3.056883
7.264677,15,3.064839
5.464778,8,3.069653
6.339283,12,3.079169
14.192906,38,3.097248
9.772008,15,3.107365
34.533544,28,3.121099
30.961803,33,3.139324
153.002451,78,3.178625
46.187646,62,3.209903
13.62671,14,3.217613
119.432174,64,3.248889
31.540765,23,3.260587
69.250332,44,3.284189
67.910777,42,3.306334
15.689329,29,3.320429
9.437111,12,3.329275
14.973464,23,3.341198
15.661257,17,3.35019
8.503226,14,3.359937
10.758354,15,3.36779
161.775807,79,3.407786
13.933403,17,3.41676
26.679308,25,3.430912
11.67389,14,3.438692
48.612001,44,3.461894
20.819405,30,3.477753
19.943691,25,3.49225
8.711362,13,3.499594
13.655352,28,3.515634
12.341261,25,3.528613
16.234751,21,3.539616
73.923397,55,3.567582
153.264562,76,3.605597
9.807204,23,3.619484
10.779084,14,3.627287
10.921798,15,3.635119
12.91605,21,3.64784
28.514998,25,3.660404
12.447135,23,3.674186
9.066147,13,3.682209
4.37623,7,3.68666
23.975582,30,3.70377
7.650255,15,3.712042
34.170795,32,3.727717
23.578415,32,3.745528
62.279894,35,4.304593
55.031686,40,4.326516
64.810392,40,4.348196
99.578756,56,4.374915
110.789925,73,4.413527
17.973978,17,4.422605
108.270467,53,4.450007
10.297055,12,4.456748
18.234839,22,4.468042
82.008087,60,4.499829
105.617209,56,4.528425
10.404396,12,4.537232
21.621786,22,4.54839
6.758593,32,4.566221
14.199541,15,4.57466
53.850911,36,4.593394
23.015569,21,4.606062
130.877947,83,4.646651
50.630507,34,4.665732
17.058916,25,4.678342
17.081527,20,4.688799
12.570085,13,4.698463
13.149087,16,4.707042
53.639027,45,4.731201
115.795434,57,4.760497
55.992269,33,4.789739
56.529205,33,4.801204
56.667068,33,4.811624
58.23517,34,4.824293
56.535193,33,4.83459
73.998646,43,4.865679
83.402324,45,4.889951
44.471386,41,4.915515
22.566455,36,4.933115
64.759083,41,4.955203
68.580083,45,4.979045
10.177687,14,4.986619
8.897936,17,4.996751
64.21956,38,5.017227
49.038284,34,5.033793
188.166656,116,5.091583
67.961634,40,5.114591
16.50006,18,5.124163
157.984992,88,5.167028
90.713539,63,5.199871
167.218764,76,5.235923
37.405886,37,5.253464
7.849073,13,5.262659
142.61763,84,5.305693
5.414579,30,5.321205
133.120042,79,5.362874
10.470019,22,5.374643
16.217919,17,5.383952
43.731788,40,5.407148
37.250571,27,5.423134
37.724192,27,5.437284
116.774467,60,6.052387
41.646997,28,6.068762
137.473264,85,6.113312
149.252032,83,6.155569
86.018003,48,6.181879
52.43275,30,6.199389
87.240953,49,6.226947
79.738127,54,6.255908
225.175417,97,6.304934
94.988286,59,6.337857
55.252344,39,6.359605
55.072118,34,6.377019
55.502113,38,6.398296
92.392177,49,6.424961
181.184224,91,6.471099
122.888026,61,6.503324
11.015214,14,6.511461
77.736358,41,6.535422
95.094649,63,6.568801
151.900228,77,6.608721
115.52382,59,6.646622
133.942542,83,6.686275
136.516478,121,6.742871
171.02657,96,6.789376
87.78967,49,6.813314
55.28337,39,6.836055
93.896752,60,6.867939
104.541465,67,6.903297
101.904866,53,6.932796
194.174194,106,6.986112
78.139325,52,7.012057
76.232579,42,7.036394
78.940692,45,7.061112
91.827343,60,7.093279
178.845515,84,7.743794
128.236281,67,7.779159
211.708918,100,7.830825
60.951839,34,7.848539
110.484914,55,7.877898
159.435968,72,7.91628
75.171117,42,7.941395
61.832563,33,7.960653
64.854473,49,7.985462
95.708499,50,8.011455
98.191085,69,8.04916
92.812581,51,8.076629
69.477301,40,8.099218
55.957016,32,8.117918
156.402102,104,8.172711
188.723037,84,8.216027
17.793886,21,8.227697
200.123902,89,8.27466
87.031396,46,8.298068
186.217757,80,8.340634
164.354653,75,8.379861
105.205689,67,8.415195
208.824058,90,8.46453
204.244918,102,8.516674
38.882767,27,8.531126
56.896643,33,8.551388
99.650412,52,8.577061
168.812364,88,8.622674
108.13016,59,8.655234
53.85826,31,8.688764
51.830694,30,8.698814
49.719075,29,8.708506
51.797266,30,8.71842
52.057032,30,8.728222
101.110121,62,8.764168
116.83306,59,8.795458
134.893492,94,8.84472
181.495836,119,9.472505
195.77586,91,9.519665
179.114955,91,9.565477
232.234422,110,9.618733
122.619339,65,9.652989
214.123918,107,9.704379
71.927371,42,9.727105
112.848869,61,9.759332
136.444907,94,9.805509
43.99812,32,9.821568
65.952153,37,9.842126
208.036811,88,9.886998
245.65258,114,9.942055
79.900385,46,9.965294
222.285034,102,10.013335
45.492952,37,10.031476
68.67561,41,10.053647
195.92817,92,10.099648
109.676399,61,10.129949
223.25234,92,10.177768
69.905268,39,10.196661
75.921881,45,10.219819
92.096765,52,10.246891
189.495128,85,10.290557
27.891528,22,10.30181
229.581916,107,10.354047
101.019788,55,10.381783
197.61354,91,10.427811
170.276304,94,11.07527
204.948414,93,11.120811
136.400905,66,11.154635
121.159265,74,11.195059
156.26745,71,11.231333
5.562172,15,11.239405
137.036359,64,11.273952
128.513798,62,11.306951
105.155972,62,11.340035
69.391489,39,11.36352
177.394503,82,11.406731
99.527009,54,11.435774
219.07038,92,11.487119
110.198118,55,11.51706
181.741652,86,11.559937
227.88206,99,11.611704
160.984202,94,11.658046
15.785441,23,11.672557
147.423068,73,11.710879
193.428481,96,11.758225
63.447444,35,11.779353
99.939937,51,11.806244
153.744432,98,11.855093
172.10052,77,11.89633
60.506513,34,11.913464
115.134479,63,11.945741
229.20185,97,11.995979
186.879647,92,12.041512
213.394568,95,12.090033
181.338915,87,12.739829
204.016036,85,12.782412
194.083922,87,12.827145
55.08115,31,12.842637
184.874677,94,12.892307
206.739156,96,12.939452
198.081697,88,12.983038
212.526287,92,13.030211
77.853902,44,13.051728
184.492651,81,13.094271
183.973254,81,13.1194
186.627309,82,13.14716
184.490688,81,13.17222
181.442877,80,13.198233
56.851912,32,13.222013
109.224613,56,13.251438
196.668684,92,13.300506
209.955034,94,13.347361
178.698211,79,13.387471
120.989407,70,13.424657
90.399571,48,13.450619
110.848702,58,13.480941
93.077263,50,13.508449
145.35649,77,13.547253
185.148731,83,13.588777
238.53472,111,13.645606
80.463272,48,13.671614
186.120724,86,13.715703
106.52895,55,13.744418
90.275329,47,13.770158
58.521899,33,13.786446
238.472185,111,13.844432
177.758715,79,13.885076
157.354179,78,14.524997
224.12901,98,14.573718
197.849303,85,14.617701
36.900921,28,14.632106
211.675029,99,14.683548
288.628187,164,14.76568
189.659413,81,14.806742
193.861797,103,14.858461
148.784926,69,14.894752
194.953809,86,14.939236
244.517443,98,14.988071
212.438653,92,15.035074
214.153364,97,15.083817
196.0204,84,15.127718
161.271137,79,15.167529
229.104007,100,15.217504
211.777411,104,15.270218
199.043493,94,15.317142
36.979385,30,15.333639
189.08312,85,15.376192
236.710717,111,15.433632
186.724117,82,15.47844
58.815001,36,15.496738
140.270226,71,15.53721
211.105232,96,16.18947
46.983296,26,16.202967
206.306273,90,16.249181
82.387524,46,16.273875
202.868434,85,16.316553
160.972414,74,16.355609
204.120349,107,16.408063
221.638828,94,16.455866
201.439377,88,16.499602
184.954284,91,16.545688
