#{"t_start": 1726013511.7930896, "env_id": "CustomHopper-target-v0"}
r,l,t
8.376093,17,4.651598
79.699542,47,4.668195
147.831177,78,4.697161
87.208409,51,4.714902
25.09347,21,4.722428
85.778811,51,4.741229
167.396859,91,5.296867
193.547905,93,5.331201
83.852764,49,5.349219
63.761145,46,5.365489
194.160392,101,5.400856
129.238899,65,5.425182
44.980555,32,5.436628
166.477463,90,5.468884
43.12476,35,5.481401
237.61107,110,5.521859
174.763709,95,5.555588
65.26473,40,5.570908
156.273014,76,5.597189
96.611327,53,5.617664
48.608968,48,5.634739
143.86527,92,5.66864
144.184994,77,5.69541
226.709632,111,5.736143
118.555167,65,5.759145
107.786627,59,5.780697
129.629716,68,5.804832
145.441449,94,5.839149
132.05496,70,5.864423
69.561933,49,5.881939
153.242478,81,5.909898
109.65446,60,5.932781
83.945508,49,5.956816
83.795479,49,5.97128
83.592597,49,5.985531
83.725559,49,5.999716
85.730975,50,6.014162
84.373796,58,6.039838
81.210628,47,6.057139
83.1127,72,6.083335
195.829661,99,6.646878
121.348317,65,6.669029
37.198312,30,6.679986
97.145158,55,6.699081
189.252259,85,6.72881
89.946119,59,6.751003
236.090589,116,6.794914
134.651641,71,6.820044
75.851716,44,6.837032
8.212677,10,6.840597
159.081978,80,6.868679
236.007146,110,6.910624
102.542783,59,6.931494
102.767104,58,6.953566
207.091026,112,6.995171
130.242796,70,7.019858
98.393651,55,7.040988
163.104671,79,7.06859
214.689175,109,7.109609
104.618564,57,7.129672
83.872118,65,7.15409
225.465749,122,7.199613
61.643691,37,7.212659
157.626092,81,7.240925
218.027331,105,7.281432
11.54288,13,7.286323
139.019268,73,7.312751
70.784531,42,7.327752
197.832468,91,7.361529
226.146686,100,7.93835
213.447985,104,7.975846
219.419809,100,8.012524
86.176279,49,8.030735
38.922418,32,8.041852
190.485613,90,8.075325
193.03044,88,8.107842
213.918366,107,8.146318
92.411394,54,8.166785
160.451925,77,8.194043
77.250927,44,8.211798
201.480023,93,8.245375
71.186287,51,8.264812
222.996296,110,8.305307
61.64168,36,8.319042
214.36855,105,8.35556
141.654851,75,8.383727
221.192052,113,8.425797
228.997836,101,8.461488
233.158787,111,8.501886
225.720358,105,8.541627
239.361714,119,8.585166
127.390648,66,8.610004
90.981413,52,8.629484
146.633932,72,8.654956
125.705448,65,9.215075
210.073318,94,9.250714
231.232403,106,9.289304
226.511923,114,9.331323
177.828496,107,9.370186
79.298664,46,9.388248
224.128974,107,9.427401
221.927511,101,9.484987
220.089369,100,9.515336
218.292148,99,9.546697
220.334095,100,9.575686
221.241717,101,9.606625
189.793941,92,9.651967
231.108309,105,9.689069
224.509064,106,9.72911
237.595023,108,9.768949
227.625926,112,9.809947
111.775891,63,9.833705
131.446654,70,9.859392
67.792425,40,9.873593
189.541463,93,9.907918
111.413344,64,9.930823
225.11117,104,9.969847
255.785637,134,10.018286
131.93255,75,10.046103
82.543999,48,10.063842
203.669886,92,10.096416
219.791862,115,10.678751
228.274075,114,10.719656
208.991922,107,10.758636
244.10646,115,10.799614
225.847239,103,10.837232
212.539373,106,10.876864
192.746985,91,10.908876
222.320785,105,10.947378
197.179679,97,10.983826
200.38821,95,11.017064
212.306089,109,11.058223
54.67746,32,11.070617
114.383437,64,11.093168
225.310232,105,11.131729
206.626438,111,11.172956
209.333618,130,11.218689
228.074804,107,11.259401
223.112865,106,11.297662
211.843906,115,11.339678
220.626026,109,11.380345
177.70876,94,11.947345
243.960573,109,11.988118
235.538596,115,12.029422
234.284188,116,12.073681
216.232905,102,12.110311
222.399051,105,12.148835
238.410676,110,12.189899
239.34397,106,12.227169
215.939156,111,12.267912
163.511285,90,12.302
209.642328,104,12.338341
214.885133,109,12.379764
217.021414,103,12.416365
207.463833,101,12.453716
234.700454,118,12.497771
221.450031,102,12.552063
223.615975,103,12.583475
223.786432,103,12.614106
222.050279,102,12.643675
221.398803,102,12.67497
232.152283,115,12.731948
60.432664,38,12.745671
228.913757,100,12.782822
217.984057,99,12.819944
217.87228,107,12.859058
225.196481,110,13.430975
226.882558,113,13.47205
164.6409,80,13.501776
235.147457,108,13.540006
241.163611,114,13.581668
228.299674,113,13.623501
218.773474,105,13.659937
